,player,worker,resources,time,age,round,game_id,text
31,Green,P,3,2020-03-28 16:09:07,II,13,7472433,Green builds Philosophy#Green spends 3 resources #
32,Purple,K,3,2020-03-28 16:04:05,II,13,7472433,Purple builds Knights#Purple spends 3 resources #
33,Purple,K,3,2020-03-28 16:03:45,II,13,7472433,Purple builds Knights#Purple spends 3 resources #
34,Orange,D,4,2020-03-28 16:01:08,II,13,7472433,Orange builds Drama#Orange spends 4 resources #
35,Grey,W,2,2020-03-28 15:53:08,II,12,7472433,Grey builds Warrior#Grey spends 2 resources #
36,Purple,B,2,2020-03-28 15:41:41,II,12,7472433,Purple builds Bronze#Purple spends 2 resources #
37,Grey,O,7,2020-03-28 15:32:24,II,11,7472433,Grey builds Opera using Ideal Building Site #Grey spends 7 resources #
38,Green,1,3,2020-03-28 15:26:52,II,11,7472433,Green builds 1 stage of Eiffel Tower#Green spends 3 resources Wonder completed #
39,Purple,I,2,2020-03-28 15:23:51,II,11,7472433,Purple builds Iron using Rich Land #Purple spends 2 resources #
40,Purple,B,4,2020-03-28 15:23:37,II,11,7472433,Purple builds Bread & Circuses#Purple spends 4 resources #
41,Green,1,3,2020-03-28 15:14:51,II,10,7472433,Green builds 1 stage of Eiffel Tower#Green spends 3 resources #
42,Grey,S,3,2020-03-28 15:03:52,II,9,7472433,Grey builds Swordsmen#Grey spends 3 resources #
43,Grey,T,5,2020-03-28 15:03:13,II,9,7472433,Grey builds Theology#Grey spends 5 resources #
44,Green,D,5,2020-03-28 15:00:05,II,9,7472433,Green builds Drama#Green spends 5 resources #
45,Orange,D,4,2020-03-28 14:55:30,II,9,7472433,Orange builds Drama#Orange spends 4 resources #
46,Grey,B,2,2020-03-28 14:51:39,II,8,7472433,Grey builds Bronze#Grey spends 2 resources #
47,Green,S,1,2020-03-28 14:48:50,I,8,7472433,Green builds Swordsmen#Green spends 1 resource #
48,Orange,W,1,2020-03-28 14:39:18,I,8,7472433,Orange builds Warrior#Orange spends 1 resource #
49,Orange,2,5,2020-03-28 14:38:53,I,8,7472433,Orange builds 2 stages of Great Wall#Orange spends 5 resources Wonder completed #
50,Grey,P,2,2020-03-28 14:36:42,I,7,7472433,Grey builds Philosophy using Ideal Building Site #Grey spends 2 resources #
51,Green,S,3,2020-03-28 14:35:19,I,7,7472433,Green builds Swordsmen#Green spends 3 resources #
52,Orange,P,3,2020-03-28 14:22:32,I,7,7472433,Orange builds Philosophy#Orange spends 3 resources #
53,Green,D,5,2020-03-28 14:09:06,I,6,7472433,Green builds Drama#Green spends 5 resources #
54,Orange,1,2,2020-03-28 14:00:58,I,6,7472433,Orange builds 1 stage of Great Wall#Orange spends 2 resources #
55,Orange,1,2,2020-03-28 14:00:40,I,6,7472433,Orange builds 1 stage of Great Wall#Orange spends 2 resources #
56,Orange,W,1,2020-03-28 14:00:19,I,6,7472433,Orange builds Warrior#Orange spends 1 resource #
57,Green,1,1,2020-03-28 13:48:25,I,5,7472433,Green builds 1 stage of Pyramids#Green spends 1 resource Wonder completed #
58,Green,1,2,2020-03-28 13:48:19,I,5,7472433,Green builds 1 stage of Pyramids#Green spends 2 resources #
59,Purple,W,2,2020-03-28 13:40:32,I,5,7472433,Purple builds Warrior#Purple spends 2 resources #
60,Grey,1,2,2020-03-28 13:31:15,I,4,7472433,Grey builds 1 stage of Hanging Gardens#Grey spends 2 resources Wonder completed #
61,Green,1,3,2020-03-28 13:26:25,I,4,7472433,Green builds 1 stage of Pyramids#Green spends 3 resources #
62,Purple,W,2,2020-03-28 13:23:28,I,4,7472433,Purple builds Warrior#Purple spends 2 resources #
63,Orange,W,1,2020-03-28 13:19:41,I,4,7472433,Orange builds Warrior#Orange spends 1 resource #
64,Orange,1,1,2020-03-28 13:19:25,I,4,7472433,Orange builds 1 stage of Library of Alexandria#Orange spends 1 resource Wonder completed #
65,Orange,1,2,2020-03-28 13:18:44,I,4,7472433,Orange builds 1 stage of Library of Alexandria#Orange spends 2 resources #
66,Grey,1,2,2020-03-28 13:16:48,I,3,7472433,Grey builds 1 stage of Hanging Gardens#Grey spends 2 resources #
67,Grey,1,2,2020-03-28 13:16:36,I,3,7472433,Grey builds 1 stage of Hanging Gardens#Grey spends 2 resources #
68,Green,B,2,2020-03-28 13:11:26,I,3,7472433,Green builds Bronze#Green spends 2 resources #
69,Orange,W,1,2020-03-28 13:01:34,I,3,7472433,Orange builds Warrior#Orange spends 1 resource #
70,Orange,1,1,2020-03-28 12:59:34,I,3,7472433,Orange builds 1 stage of Library of Alexandria#Orange spends 1 resource #
71,Grey,A,1,2020-03-28 12:50:57,I,2,7472433,Grey builds Agriculture using Rich Land #Grey spends 1 resource #
72,Green,A,2,2020-03-28 12:49:04,I,2,7472433,Green builds Agriculture#Green spends 2 resources #
73,Purple,A,1,2020-03-28 12:46:35,I,2,7472433,Purple builds Agriculture using Rich Land #Purple spends 1 resource #
74,Orange,A,2,2020-03-28 12:42:49,I,2,7472433,Orange builds Agriculture#Orange spends 2 resources #
75,Grey,M,8,2020-03-28 19:22:41,IV,22,7472433,Grey builds Mechanized Agriculture#Grey spends 8 resources #
76,Purple,P,3,2020-03-28 19:20:08,IV,22,7472433,Purple builds Printing Press#Purple spends 3 resources #
77,Purple,1,4,2020-03-28 19:19:20,IV,22,7472433,Purple builds 1 stage of Fast Food Chains#Purple spends 4 resources Wonder completed Purple scores 17 culture #
78,Purple,3,12,2020-03-28 19:19:14,IV,22,7472433,Purple builds 3 stages of Fast Food Chains#Purple spends 12 resources #
79,Orange,T,7,2020-03-28 19:17:06,IV,22,7472433,Orange builds Tanks#Orange spends 7 resources #
80,Grey,R,3,2020-03-28 19:13:50,IV,21,7472433,Grey builds Religion#Grey spends 3 resources #
81,Grey,3,16,2020-03-28 19:13:23,IV,21,7472433,Grey builds 3 stages of First Space Flight#Grey spends 16 resources Wonder completed Grey scores 27 culture #
82,Grey,R,3,2020-03-28 19:13:07,IV,21,7472433,Grey builds Religion#Grey spends 3 resources #
83,Green,J,6,2020-03-28 19:11:41,IV,21,7472433,Green builds Journalism#Green spends 6 resources #
84,Orange,P,3,2020-03-28 19:04:48,III,21,7472433,Orange builds Philosophy#Orange spends 3 resources #
85,Orange,R,3,2020-03-28 19:03:46,III,21,7472433,Orange builds Religion#Orange spends 3 resources #
86,Grey,2,11,2020-03-28 19:01:47,III,20,7472433,Grey builds 2 stages of Hollywood#Grey spends 11 resources Wonder completed Grey scores 12 culture #
87,Green,D,4,2020-03-28 18:59:14,III,20,7472433,Green builds Drama#Green spends 4 resources #
88,Orange,B,2,2020-03-28 18:52:31,III,20,7472433,Orange builds Bronze#Orange spends 2 resources #
89,Green,J,6,2020-03-28 18:47:15,III,19,7472433,Green builds Journalism#Green spends 6 resources #
90,Grey,S,2,2020-03-28 18:37:25,III,18,7472433,Grey builds Scientific Method using Ideal Building Site #Grey spends 2 resources #
91,Grey,O,3,2020-03-28 18:36:28,III,18,7472433,Grey builds Opera using Ideal Building Site #Grey spends 3 resources #
92,Green,J,6,2020-03-28 18:35:25,III,18,7472433,Green builds Journalism#Green spends 6 resources #
93,Orange,R,3,2020-03-28 18:29:55,III,18,7472433,Orange builds Religion#Orange spends 3 resources #
94,Green,J,8,2020-03-28 18:24:39,III,17,7472433,Green builds Journalism#Green spends 8 resources #
95,Purple,P,4,2020-03-28 18:22:23,III,17,7472433,Purple builds Printing Press#Purple spends 4 resources #
96,Grey,O,4,2020-03-28 18:11:22,III,16,7472433,Grey builds Opera using Ideal Building Site #Grey spends 4 resources #
97,Green,B,2,2020-03-28 18:08:16,III,16,7472433,Green builds Bronze#Green spends 2 resources #
98,Green,P,3,2020-03-28 18:08:10,III,16,7472433,Green builds Philosophy#Green spends 3 resources #
99,Purple,P,4,2020-03-28 18:04:37,III,16,7472433,Purple builds Printing Press#Purple spends 4 resources #
100,Purple,A,2,2020-03-28 16:39:52,III,15,7472433,Purple builds Agriculture#Purple spends 2 resources #
101,Grey,1,5,2020-03-28 16:31:01,III,14,7472433,Grey builds 1 stage of Transcontinental Railroad#Grey spends 5 resources Wonder completed #
102,Grey,1,3,2020-03-28 16:30:35,III,14,7472433,Grey builds 1 stage of Transcontinental Railroad#Grey spends 3 resources #
103,Purple,1,4,2020-03-28 16:24:06,II,14,7472433,Purple builds 1 stage of St. Peter's Basilica#Purple spends 4 resources Wonder completed #
104,Purple,1,4,2020-03-28 16:24:01,II,14,7472433,Purple builds 1 stage of St. Peter's Basilica#Purple spends 4 resources #
105,Orange,D,4,2020-03-28 16:22:02,II,14,7472433,Orange builds Drama#Orange spends 4 resources #
106,Green,P,3,2020-03-28 16:09:07,II,13,7472433,Green builds Philosophy#Green spends 3 resources #
107,Purple,K,3,2020-03-28 16:04:05,II,13,7472433,Purple builds Knights#Purple spends 3 resources #
108,Purple,K,3,2020-03-28 16:03:45,II,13,7472433,Purple builds Knights#Purple spends 3 resources #
109,Orange,D,4,2020-03-28 16:01:08,II,13,7472433,Orange builds Drama#Orange spends 4 resources #
110,Grey,W,2,2020-03-28 15:53:08,II,12,7472433,Grey builds Warrior#Grey spends 2 resources #
111,Purple,B,2,2020-03-28 15:41:41,II,12,7472433,Purple builds Bronze#Purple spends 2 resources #
112,Grey,O,7,2020-03-28 15:32:24,II,11,7472433,Grey builds Opera using Ideal Building Site #Grey spends 7 resources #
113,Green,1,3,2020-03-28 15:26:52,II,11,7472433,Green builds 1 stage of Eiffel Tower#Green spends 3 resources Wonder completed #
114,Purple,I,2,2020-03-28 15:23:51,II,11,7472433,Purple builds Iron using Rich Land #Purple spends 2 resources #
115,Purple,B,4,2020-03-28 15:23:37,II,11,7472433,Purple builds Bread & Circuses#Purple spends 4 resources #
116,Green,1,3,2020-03-28 15:14:51,II,10,7472433,Green builds 1 stage of Eiffel Tower#Green spends 3 resources #
117,Grey,S,3,2020-03-28 15:03:52,II,9,7472433,Grey builds Swordsmen#Grey spends 3 resources #
118,Grey,T,5,2020-03-28 15:03:13,II,9,7472433,Grey builds Theology#Grey spends 5 resources #
119,Green,D,5,2020-03-28 15:00:05,II,9,7472433,Green builds Drama#Green spends 5 resources #
120,Orange,D,4,2020-03-28 14:55:30,II,9,7472433,Orange builds Drama#Orange spends 4 resources #
121,Grey,B,2,2020-03-28 14:51:39,II,8,7472433,Grey builds Bronze#Grey spends 2 resources #
122,Green,S,1,2020-03-28 14:48:50,I,8,7472433,Green builds Swordsmen#Green spends 1 resource #
123,Orange,W,1,2020-03-28 14:39:18,I,8,7472433,Orange builds Warrior#Orange spends 1 resource #
124,Orange,2,5,2020-03-28 14:38:53,I,8,7472433,Orange builds 2 stages of Great Wall#Orange spends 5 resources Wonder completed #
125,Grey,P,2,2020-03-28 14:36:42,I,7,7472433,Grey builds Philosophy using Ideal Building Site #Grey spends 2 resources #
126,Green,S,3,2020-03-28 14:35:19,I,7,7472433,Green builds Swordsmen#Green spends 3 resources #
127,Orange,P,3,2020-03-28 14:22:32,I,7,7472433,Orange builds Philosophy#Orange spends 3 resources #
128,Green,D,5,2020-03-28 14:09:06,I,6,7472433,Green builds Drama#Green spends 5 resources #
129,Orange,1,2,2020-03-28 14:00:58,I,6,7472433,Orange builds 1 stage of Great Wall#Orange spends 2 resources #
130,Orange,1,2,2020-03-28 14:00:40,I,6,7472433,Orange builds 1 stage of Great Wall#Orange spends 2 resources #
131,Orange,W,1,2020-03-28 14:00:19,I,6,7472433,Orange builds Warrior#Orange spends 1 resource #
132,Green,1,1,2020-03-28 13:48:25,I,5,7472433,Green builds 1 stage of Pyramids#Green spends 1 resource Wonder completed #
133,Green,1,2,2020-03-28 13:48:19,I,5,7472433,Green builds 1 stage of Pyramids#Green spends 2 resources #
134,Purple,W,2,2020-03-28 13:40:32,I,5,7472433,Purple builds Warrior#Purple spends 2 resources #
135,Grey,1,2,2020-03-28 13:31:15,I,4,7472433,Grey builds 1 stage of Hanging Gardens#Grey spends 2 resources Wonder completed #
136,Green,1,3,2020-03-28 13:26:25,I,4,7472433,Green builds 1 stage of Pyramids#Green spends 3 resources #
137,Purple,W,2,2020-03-28 13:23:28,I,4,7472433,Purple builds Warrior#Purple spends 2 resources #
138,Orange,W,1,2020-03-28 13:19:41,I,4,7472433,Orange builds Warrior#Orange spends 1 resource #
139,Orange,1,1,2020-03-28 13:19:25,I,4,7472433,Orange builds 1 stage of Library of Alexandria#Orange spends 1 resource Wonder completed #
140,Orange,1,2,2020-03-28 13:18:44,I,4,7472433,Orange builds 1 stage of Library of Alexandria#Orange spends 2 resources #
141,Grey,1,2,2020-03-28 13:16:48,I,3,7472433,Grey builds 1 stage of Hanging Gardens#Grey spends 2 resources #
142,Grey,1,2,2020-03-28 13:16:36,I,3,7472433,Grey builds 1 stage of Hanging Gardens#Grey spends 2 resources #
143,Green,B,2,2020-03-28 13:11:26,I,3,7472433,Green builds Bronze#Green spends 2 resources #
144,Orange,W,1,2020-03-28 13:01:34,I,3,7472433,Orange builds Warrior#Orange spends 1 resource #
145,Orange,1,1,2020-03-28 12:59:34,I,3,7472433,Orange builds 1 stage of Library of Alexandria#Orange spends 1 resource #
146,Grey,A,1,2020-03-28 12:50:57,I,2,7472433,Grey builds Agriculture using Rich Land #Grey spends 1 resource #
147,Green,A,2,2020-03-28 12:49:04,I,2,7472433,Green builds Agriculture#Green spends 2 resources #
148,Purple,A,1,2020-03-28 12:46:35,I,2,7472433,Purple builds Agriculture using Rich Land #Purple spends 1 resource #
149,Orange,A,2,2020-03-28 12:42:49,I,2,7472433,Orange builds Agriculture#Orange spends 2 resources #
150,Grey,J,7,2020-04-09 10:40:31,IV,20,7472434,Grey builds Journalism#Grey spends 7 resources #
151,Grey,J,7,2020-04-09 10:40:24,IV,20,7472434,Grey builds Journalism#Grey spends 7 resources #
152,Green,W,2,2020-04-09 10:36:28,IV,20,7472434,Green builds Warrior#Green spends 2 resources #
153,Green,S,3,2020-04-09 10:36:24,IV,20,7472434,Green builds Swordsmen#Green spends 3 resources #
154,Green,1,2,2020-04-09 10:34:44,IV,20,7472434,Green builds 1 stage of Internet#Green spends 2 resources Wonder completed Green scores 18 culture #
155,Green,2,7,2020-04-09 10:34:39,IV,20,7472434,Green builds 2 stages of Internet#Green spends 7 resources #
156,Green,2,5,2020-04-09 10:34:32,IV,20,7472434,Green builds 2 stages of Internet#Green spends 5 resources #
157,Purple,1,4,2020-04-09 10:03:37,IV,20,7472434,Purple builds 1 stage of Fast Food Chains#Purple spends 4 resources Wonder completed Purple scores 25 culture #
158,Purple,R,3,2020-04-09 10:03:11,IV,20,7472434,Purple builds Religion#Purple spends 3 resources #
159,Orange,1,4,2020-04-09 09:39:51,IV,20,7472434,Orange builds 1 stage of First Space Flight#Orange spends 4 resources #
160,Grey,M,6,2020-04-08 22:30:23,IV,19,7472434,Grey builds Multimedia using Ideal Building Site #Grey spends 6 resources #
161,Purple,R,3,2020-04-08 21:00:34,III,19,7472434,Purple builds Religion#Purple spends 3 resources #
162,Purple,J,3,2020-04-08 21:00:04,III,19,7472434,Purple builds Journalism using Ideal Building Site #Purple spends 3 resources #
163,Orange,1,3,2020-04-08 20:56:16,III,19,7472434,Orange builds 1 stage of First Space Flight#Orange spends 3 resources #
164,Orange,O,7,2020-04-08 20:52:54,III,19,7472434,Orange builds Opera#Orange spends 7 resources #
165,Green,I,5,2020-04-08 20:30:05,III,18,7472434,Green builds Iron#Green spends 5 resources #
166,Purple,3,12,2020-04-08 20:12:36,III,18,7472434,Purple builds 3 stages of Fast Food Chains#Purple spends 12 resources #
167,Orange,S,3,2020-04-08 20:07:00,III,18,7472434,Orange builds Swordsmen#Orange spends 3 resources #
168,Orange,O,6,2020-04-08 20:05:39,III,18,7472434,Orange builds Opera#Orange spends 6 resources #
169,Grey,J,7,2020-04-08 20:00:33,III,17,7472434,Grey builds Journalism#Grey spends 7 resources #
170,Purple,P,4,2020-04-08 17:51:20,III,17,7472434,Purple builds Printing Press#Purple spends 4 resources #
171,Orange,K,3,2020-04-08 17:24:55,III,17,7472434,Orange builds Knights#Orange spends 3 resources #
172,Orange,K,3,2020-04-08 17:24:47,III,17,7472434,Orange builds Knights#Orange spends 3 resources #
173,Grey,D,4,2020-04-08 13:06:34,III,16,7472434,Grey builds Drama#Grey spends 4 resources #
174,Grey,J,6,2020-04-08 13:05:18,III,16,7472434,Grey builds Journalism#Grey spends 6 resources #
175,Green,S,3,2020-04-08 12:37:26,III,16,7472434,Green builds Swordsmen#Green spends 3 resources #
176,Green,A,5,2020-04-08 12:37:18,III,16,7472434,Green builds Alchemy#Green spends 5 resources #
177,Purple,R,3,2020-04-08 12:08:49,III,16,7472434,Purple builds Religion#Purple spends 3 resources #
178,Purple,D,5,2020-04-08 12:07:03,III,16,7472434,Purple builds Drama#Purple spends 5 resources #
179,Purple,I,2,2020-04-08 12:06:34,III,16,7472434,Purple builds Iron using Rich Land #Purple spends 2 resources #
180,Orange,O,8,2020-04-08 11:17:31,III,16,7472434,Orange builds Opera#Orange spends 8 resources #
181,Purple,D,5,2020-04-07 18:32:55,III,15,7472434,Purple builds Drama#Purple spends 5 resources #
182,Purple,1,3,2020-04-07 18:32:23,III,15,7472434,Purple builds 1 stage of Ocean Liner Service#Purple spends 3 resources Wonder completed #
183,Purple,1,2,2020-04-07 18:32:17,III,15,7472434,Purple builds 1 stage of Ocean Liner Service#Purple spends 2 resources #
184,Orange,K,3,2020-04-07 17:49:08,III,15,7472434,Orange builds Knights#Orange spends 3 resources #
185,Grey,1,3,2020-04-07 17:15:13,III,14,7472434,Grey builds 1 stage of Transcontinental Railroad#Grey spends 3 resources #
186,Green,S,3,2020-04-07 16:36:14,II,14,7472434,Green builds Swordsmen#Green spends 3 resources #
187,Purple,1,2,2020-04-07 16:04:15,II,14,7472434,Purple builds 1 stage of Ocean Liner Service#Purple spends 2 resources #
188,Purple,1,2,2020-04-07 16:04:08,II,14,7472434,Purple builds 1 stage of Ocean Liner Service#Purple spends 2 resources #
189,Purple,1,3,2020-04-07 16:04:00,II,14,7472434,Purple builds 1 stage of Ocean Liner Service#Purple spends 3 resources #
190,Grey,J,3,2020-04-07 15:11:39,II,13,7472434,Grey builds Journalism using Ideal Building Site #Grey spends 3 resources #
191,Green,S,3,2020-04-07 14:57:05,II,13,7472434,Green builds Swordsmen#Green spends 3 resources #
192,Orange,P,4,2020-04-07 14:03:54,II,13,7472434,Orange builds Printing Press#Orange spends 4 resources #
193,Grey,1,4,2020-04-07 13:48:06,II,12,7472434,Grey builds 1 stage of St. Peter's Basilica#Grey spends 4 resources Wonder completed #
194,Green,1,3,2020-04-07 12:48:18,II,12,7472434,Green builds 1 stage of Eiffel Tower#Green spends 3 resources Wonder completed #
195,Green,2,10,2020-04-07 12:48:02,II,12,7472434,Green builds 2 stages of Eiffel Tower#Green spends 10 resources #
196,Purple,D,5,2020-04-07 12:39:10,II,12,7472434,Purple builds Drama#Purple spends 5 resources #
197,Purple,R,5,2020-04-07 12:37:57,II,12,7472434,Purple builds Riflemen#Purple spends 5 resources #
198,Orange,P,4,2020-04-07 11:59:19,II,12,7472434,Orange builds Printing Press#Orange spends 4 resources #
199,Grey,J,8,2020-04-07 11:52:13,II,11,7472434,Grey builds Journalism#Grey spends 8 resources #
200,Green,S,3,2020-04-07 11:27:01,II,11,7472434,Green builds Swordsmen#Green spends 3 resources #
201,Orange,S,3,2020-04-07 10:45:38,II,11,7472434,Orange builds Swordsmen#Orange spends 3 resources #
202,Purple,K,3,2020-04-06 22:31:44,II,10,7472434,Purple builds Knights#Purple spends 3 resources #
203,Orange,P,4,2020-04-06 22:27:51,II,10,7472434,Orange builds Printing Press#Orange spends 4 resources #
204,Green,S,3,2020-04-06 21:39:35,II,9,7472434,Green builds Swordsmen#Green spends 3 resources #
205,Purple,A,2,2020-04-06 21:31:59,II,9,7472434,Purple builds Agriculture#Purple spends 2 resources #
206,Grey,D,5,2020-04-06 21:11:41,II,8,7472434,Grey builds Drama#Grey spends 5 resources #
207,Green,W,2,2020-04-06 20:15:49,II,8,7472434,Green builds Warrior#Green spends 2 resources #
208,Purple,R,3,2020-04-06 18:22:27,I,8,7472434,Purple builds Religion#Purple spends 3 resources #
209,Orange,K,3,2020-04-06 18:17:47,I,8,7472434,Orange builds Knights#Orange spends 3 resources #
210,Green,2,6,2020-04-06 18:06:51,I,7,7472434,Green builds 2 stages of Colossus#Green spends 6 resources Wonder completed #
211,Purple,P,3,2020-04-06 17:50:59,I,7,7472434,Purple builds Philosophy#Purple spends 3 resources #
212,Purple,W,1,2020-04-06 16:48:55,I,6,7472434,Purple builds Warrior#Purple spends 1 resource #
213,Orange,A,4,2020-04-06 14:51:24,I,6,7472434,Orange builds Alchemy using Ideal Building Site #Orange spends 4 resources #
214,Grey,B,2,2020-04-06 14:18:49,I,5,7472434,Grey builds Bronze#Grey spends 2 resources #
215,Green,R,3,2020-04-06 14:10:46,I,5,7472434,Green builds Religion#Green spends 3 resources #
216,Purple,1,1,2020-04-06 13:05:15,I,5,7472434,Purple builds 1 stage of Library of Alexandria#Purple spends 1 resource Wonder completed #
217,Purple,B,1,2020-04-06 13:04:48,I,5,7472434,Purple builds Bronze using Rich Land #Purple spends 1 resource #
218,Grey,P,2,2020-04-06 12:31:55,I,4,7472434,Grey builds Philosophy using Ideal Building Site #Grey spends 2 resources #
219,Purple,1,2,2020-04-05 22:35:15,I,4,7472434,Purple builds 1 stage of Library of Alexandria#Purple spends 2 resources #
220,Purple,1,1,2020-04-05 22:34:56,I,4,7472434,Purple builds 1 stage of Library of Alexandria#Purple spends 1 resource #
221,Orange,1,2,2020-04-05 22:04:35,I,4,7472434,Orange builds 1 stage of Hanging Gardens#Orange spends 2 resources Wonder completed #
222,Orange,1,2,2020-04-05 22:04:30,I,4,7472434,Orange builds 1 stage of Hanging Gardens#Orange spends 2 resources #
223,Grey,1,1,2020-04-05 21:44:19,I,3,7472434,Grey builds 1 stage of Pyramids#Grey spends 1 resource Wonder completed #
224,Grey,1,2,2020-04-05 21:44:14,I,3,7472434,Grey builds 1 stage of Pyramids#Grey spends 2 resources #
225,Green,P,3,2020-04-05 21:36:19,I,3,7472434,Green builds Philosophy#Green spends 3 resources #
226,Purple,R,3,2020-04-05 17:52:12,I,3,7472434,Purple builds Religion#Purple spends 3 resources #
227,Orange,1,2,2020-04-05 17:26:57,I,3,7472434,Orange builds 1 stage of Hanging Gardens#Orange spends 2 resources #
228,Green,B,1,2020-04-05 12:38:27,I,2,7472434,Green builds Bronze using Rich Land #Green spends 1 resource #
229,Purple,B,2,2020-04-05 12:30:32,I,2,7472434,Purple builds Bronze#Purple spends 2 resources #
230,Orange,B,2,2020-04-05 12:25:26,I,2,7472434,Orange builds Bronze#Orange spends 2 resources #
231,Grey,K,3,2020-04-09 21:08:10,IV,19,7473200,Grey builds Knights#Grey spends 3 resources #
232,Grey,2,8,2020-04-09 21:07:53,IV,19,7473200,Grey builds 2 stages of Fast Food Chains#Grey spends 8 resources #
233,Green,O,7,2020-04-09 20:44:36,IV,19,7473200,Green builds Opera#Green spends 7 resources #
234,Purple,1,9,2020-04-09 20:37:54,IV,19,7473200,Purple builds 1 stage of First Space Flight#Purple spends 9 resources Wonder completed Purple scores 26 culture #
235,Purple,1,4,2020-04-09 20:37:48,IV,19,7473200,Purple builds 1 stage of First Space Flight#Purple spends 4 resources #
236,Grey,T,7,2020-04-09 19:15:36,IV,18,7473200,Grey builds Tanks#Grey spends 7 resources #
237,Green,M,10,2020-04-09 18:34:54,IV,18,7473200,Green builds Movies#Green spends 10 resources #
238,Purple,1,3,2020-04-09 18:31:56,III,18,7473200,Purple builds 1 stage of First Space Flight#Purple spends 3 resources #
239,Grey,A,5,2020-04-09 17:43:26,III,17,7473200,Grey builds Alchemy#Grey spends 5 resources #
240,Green,B,2,2020-04-09 17:34:03,III,17,7473200,Green builds Bronze#Green spends 2 resources #
241,Green,O,7,2020-04-09 17:33:39,III,17,7473200,Green builds Opera#Green spends 7 resources #
242,Purple,D,5,2020-04-09 17:30:57,III,17,7473200,Purple builds Drama#Purple spends 5 resources #
243,Purple,J,8,2020-04-09 17:30:46,III,17,7473200,Purple builds Journalism#Purple spends 8 resources #
