,player,resource_gen,resource,time,age,round,game_id,text
19,Orange,4,4,2020-03-28 18:01:11,III,16,7472433,End turn#Orange scores: 1 food - consumption: 2 (now 2) 4 resources (now 4) Orange draws 3 military cards 13 culture (now 123) 2 science (now 8) #
20,Grey,4,6,2020-03-28 16:53:59,III,16,7472433,End turn#Grey scores: 2 food - consumption: 2 (now 4) 4 resources (now 6) Grey draws 2 military cards 11 culture (now 66) 4 science (now 11) #
21,Green,5,6,2020-03-28 16:50:44,III,15,7472433,End turn#Green scores: 2 food - consumption: 3 (now 2) 5 resources (now 6) Green draws 3 military cards 12 culture (now 133) 2 science (now 3) #
22,Purple,7,12,2020-03-28 16:40:04,III,15,7472433,End turn#Purple scores: 0 food - consumption: 3 (now 0) 7 resources (now 12) Purple draws 2 military cards 3 culture (now 23) 1 science (now 3) #
23,Orange,4,4,2020-03-28 16:38:17,III,15,7472433,End turn#Orange scores: 1 food - consumption: 2 (now 5) 4 resources (now 4) Orange draws 3 military cards 12 culture (now 107) 2 science (now 6) #
24,Grey,4,6,2020-03-28 16:31:56,III,15,7472433,End turn#Grey scores: 0 food - consumption: 2 (now 2) 4 resources (now 6) Grey draws 2 military cards 6 culture (now 55) 6 science (now 13) #
25,Green,3,7,2020-03-28 16:28:29,III,14,7472433,End turn#Green scores: 2 food - consumption: 3 (now 4) 3 resources (now 7) Green draws 3 military cards 16 culture (now 108) 2 science (now 5) Age III begins. Each player loses 2 yellow tokens Michelangelo dies. #
26,Purple,7,7,2020-03-28 16:24:52,II,14,7472433,End turn#Purple scores: 0 food - consumption: 2 (now 0) 7 resources (now 7) Purple draws 3 military cards 3 culture (now 20) 1 science (now 2) #
27,Orange,4,4,2020-03-28 16:23:35,II,14,7472433,End turn#Orange scores: 2 food - consumption: 1 (now 4) 4 resources (now 4) Orange draws 3 military cards 14 culture (now 95) 2 science (now 11) #
28,Grey,3,7,2020-03-28 16:14:24,II,14,7472433,End turn#Grey scores: 0 food - consumption: 2 (now 2) 3 resources (now 7) Grey draws 1 military card 6 culture (now 47) 8 science (now 9) #
29,Green,3,4,2020-03-28 16:11:22,II,13,7472433,End turn#Green scores: 2 food - consumption: 3 (now 2) 3 resources (now 4) NO MILITARY CARDS LEFT. DISCARD PILE HAS BEEN RESHUFFLED. Green draws 2 military cards 16 culture (now 92) 2 science (now 6) #
30,Purple,7,8,2020-03-28 16:04:12,II,13,7472433,End turn#Purple scores: 0 food - consumption: 2 (now 0) 7 resources (now 8) 1 culture (now 17) 1 science (now 1) #
31,Orange,4,4,2020-03-28 16:01:52,II,13,7472433,End turn#Orange scores: 1 food - consumption: 2 (now 2) 4 resources (now 4) Orange draws 2 military cards 8 culture (now 79) 3 science (now 9) #
32,Grey,3,5,2020-03-28 15:53:52,II,13,7472433,End turn#Grey scores: 0 food - consumption: 2 (now 2) 3 resources (now 5) Grey draws 1 military card 5 culture (now 39) 8 science (now 8) #
33,Green,3,4,2020-03-28 15:49:12,II,12,7472433,End turn#Green scores: 3 food - consumption: 2 (now 5) 3 resources (now 4) Green draws 2 military cards 14 culture (now 74) 1 science (now 4) #
34,Purple,7,7,2020-03-28 15:42:11,II,12,7472433,End turn#Purple scores: 0 food - consumption: 2 (now 0) 7 resources (now 7) Purple draws 2 military cards 1 culture (now 16) 1 science (now 4) #
35,Orange,4,4,2020-03-28 15:39:10,II,12,7472433,End turn#Orange scores: 1 food - consumption: 2 (now 1) 4 resources (now 4) Orange draws 1 military card 6 culture (now 69) 3 science (now 6) #
36,Grey,3,4,2020-03-28 15:32:35,II,12,7472433,End turn#Grey scores: 0 food - consumption: 2 (now 0) 3 resources (now 4) Grey draws 2 military cards 6 culture (now 35) 8 science (now 14) #
37,Green,3,3,2020-03-28 15:29:24,II,11,7472433,End turn#Green scores: 2 food - consumption: 2 (now 2) 3 resources (now 3) Green draws 2 military cards 13 culture (now 60) 1 science (now 4) #
38,Purple,5,5,2020-03-28 15:24:35,II,11,7472433,End turn#Purple scores: 0 food - consumption: 2 (now 1) 5 resources (now 5) Purple draws 2 military cards 1 culture (now 14) 1 science (now 3) #
39,Orange,4,6,2020-03-28 15:21:53,II,11,7472433,End turn#Orange scores: 1 food - consumption: 2 (now 4) 4 resources (now 6) Orange draws 3 military cards 6 culture (now 61) 3 science (now 8) #
40,Grey,3,10,2020-03-28 15:18:37,II,11,7472433,End turn#Grey scores: 0 food - consumption: 2 (now 2) 3 resources (now 10) Grey draws 2 military cards 3 culture (now 27) 5 science (now 8) #
41,Green,3,4,2020-03-28 15:16:11,II,10,7472433,End turn#Green scores: 2 food - consumption: 2 (now 5) 3 resources (now 4) Green draws 2 military cards 8 culture (now 45) 1 science (now 2) #
42,Purple,3,3,2020-03-28 15:10:59,II,10,7472433,End turn#Purple scores: 0 food - consumption: 2 (now 1) 3 resources (now 3) Purple draws 2 military cards 1 culture (now 11) 1 science (now 4) #
43,Orange,2,3,2020-03-28 15:07:55,II,10,7472433,End turn#Orange scores: 1 food - consumption: 2 (now 3) 2 resources (now 3) Orange draws 3 military cards 6 culture (now 53) 3 science (now 9) #
44,Grey,3,4,2020-03-28 15:04:00,II,10,7472433,End turn#Grey scores: 0 food - consumption: 2 (now 2) 3 resources (now 4) Grey draws 1 military card 3 culture (now 22) 4 science (now 9) #
45,Green,3,3,2020-03-28 15:00:55,II,9,7472433,End turn#Green scores: 1 food - consumption: 2 (now 3) 3 resources (now 3) Green draws 2 military cards 8 culture (now 35) 1 science (now 4) #
46,Purple,2,3,2020-03-28 14:57:34,II,9,7472433,End turn#Purple scores: 0 food - consumption: 2 (now 1) 2 resources (now 3) Purple draws 2 military cards 1 culture (now 10) 1 science (now 3) #
47,Orange,2,2,2020-03-28 14:56:05,II,9,7472433,End turn#Orange scores: 1 food - consumption: 2 (now 5) 2 resources (now 2) Orange draws 3 military cards 6 culture (now 45) 3 science (now 6) #
48,Grey,3,4,2020-03-28 14:52:32,II,9,7472433,End turn#Grey scores: 0 food - consumption: 2 (now 2) 3 resources (now 4) Grey draws 2 military cards 2 culture (now 19) 3 science (now 8) #
49,Green,4,5,2020-03-28 14:49:55,II,8,7472433,End turn#Green scores: 1 food - consumption: 2 (now 2) 4 resources (now 5) 5 culture (now 27) 1 science (now 3) Age II begins. Each player loses 2 yellow tokens Hammurabi dies. Aristotle dies. Homer dies. #
50,Orange,2,4,2020-03-28 14:40:18,I,8,7472433,End turn#Orange scores: 2 food - consumption: 1 (now 4) 2 resources (now 4) Orange draws 1 military card 6 culture (now 33) 3 science (now 3) #
51,Grey,2,3,2020-03-28 14:37:33,I,8,7472433,End turn#Grey scores: 1 food - consumption: 1 (now 2) 2 resources (now 3) Grey draws 2 military cards 2 culture (now 17) 3 science (now 6) #
52,Green,3,3,2020-03-28 14:35:52,I,7,7472433,End turn#Green scores: 1 food - consumption: 2 (now 1) 3 resources (now 3) Green draws 1 military card 5 culture (now 21) 1 science (now 2) #
53,Orange,2,3,2020-03-28 14:22:55,I,7,7472433,End turn#Orange scores: 2 food - consumption: 1 (now 2) 2 resources (now 3) NO MILITARY CARDS LEFT. DISCARD PILE HAS BEEN RESHUFFLED. Orange draws 3 military cards 5 culture (now 27) 3 science (now 3) #
54,Grey,2,3,2020-03-28 14:19:19,I,7,7472433,End turn#Grey scores: 1 food - consumption: 1 (now 2) 2 resources (now 3) Grey draws 1 military card 2 culture (now 15) 2 science (now 3) #
55,Green,3,3,2020-03-28 14:10:42,I,6,7472433,End turn#Green scores: 2 food - consumption: 1 (now 3) 3 resources (now 3) Green draws 2 military cards 3 culture (now 15) 1 science (now 1) #
56,Orange,2,4,2020-03-28 14:01:27,I,6,7472433,End turn#Orange scores: 2 food - consumption: 1 (now 3) 2 resources (now 4) 4 culture (now 22) 2 science (now 7) #
57,Green,3,3,2020-03-28 13:50:22,I,5,7472433,End turn#Green scores: 2 food - consumption: 1 (now 4) 3 resources (now 3) Green draws 1 military card 1 culture (now 12) 1 science (now 4) #
58,Orange,2,4,2020-03-28 13:38:52,I,5,7472433,End turn#Orange scores: 2 food - consumption: 1 (now 4) 2 resources (now 4) Orange draws 2 military cards 4 culture (now 17) 2 science (now 5) #
59,Grey,2,2,2020-03-28 13:33:44,I,5,7472433,End turn#Grey scores: 2 food - consumption: 1 (now 4) 2 resources (now 2) Grey draws 2 military cards 2 culture (now 3) 1 science (now 4) #
60,Green,3,3,2020-03-28 13:28:41,I,4,7472433,End turn#Green scores: 2 food - consumption: 1 (now 4) 3 resources (now 3) Green draws 2 military cards 1 culture (now 10) 1 science (now 6) #
61,Purple,2,3,2020-03-28 13:23:36,I,4,7472433,End turn#Purple scores: 2 food - consumption: 1 (now 5) 2 resources (now 3) 1 culture (now 4) 1 science (now 4) #
62,Orange,2,2,2020-03-28 13:19:54,I,4,7472433,End turn#Orange scores: 2 food - consumption: 1 (now 2) 2 resources (now 2) 4 culture (now 9) 2 science (now 5) #
63,Grey,2,3,2020-03-28 13:17:09,I,4,7472433,End turn#Grey scores: 2 food - consumption: 1 (now 3) 2 resources (now 3) Grey draws 2 military cards 1 culture (now 2) 1 science (now 3) #
64,Green,3,3,2020-03-28 13:12:02,I,3,7472433,End turn#Green scores: 2 food - consumption: 1 (now 3) 3 resources (now 3) Green draws 1 military card 1 culture (now 8) 1 science (now 3) #
65,Orange,2,2,2020-03-28 13:01:51,I,3,7472433,End turn#Orange scores: 2 food - consumption: 1 (now 3) 2 resources (now 2) Orange draws 1 military card 3 culture (now 4) 1 science (now 3) #
66,Grey,2,3,2020-03-28 12:54:20,I,3,7472433,End turn#Grey scores: 3 food - consumption: 0 (now 3) 2 resources (now 3) Grey draws 2 military cards 0 culture (now 0) 1 science (now 2) #
67,Green,2,2,2020-03-28 12:50:18,I,2,7472433,End turn#Green scores: 3 food - consumption: 0 (now 3) 2 resources (now 2) Green draws 2 military cards 0 culture (now 0) 1 science (now 2) #
68,Purple,2,3,2020-03-28 12:47:20,I,2,7472433,End turn#Purple scores: 3 food - consumption: 0 (now 3) 2 resources (now 3) Purple draws 2 military cards 0 culture (now 0) 1 science (now 2) #
69,Orange,2,2,2020-03-28 12:45:30,I,2,7472433,End turn#Orange scores: 3 food - consumption: 0 (now 3) 2 resources (now 2) Orange draws 2 military cards 0 culture (now 0) 1 science (now 2) #
70,Grey,2,2,2020-03-28 12:41:20,I,2,7472433,End turn#Grey scores: 2 food - consumption: 0 (now 2) 2 resources (now 2) 0 culture (now 0) 1 science (now 1) Age I begins. #
71,Green,2,2,2020-03-28 12:40:43,A,1,7472433,End turn#Green scores: 2 food - consumption: 0 (now 2) 2 resources (now 2) 0 culture (now 0) 1 science (now 1) #
72,Purple,2,2,2020-03-28 12:39:28,A,1,7472433,End turn#Purple scores: 2 food - consumption: 0 (now 2) 2 resources (now 2) 0 culture (now 0) 1 science (now 1) #
73,Orange,2,2,2020-03-28 12:36:23,A,1,7472433,End turn#Orange scores: 2 food - consumption: 0 (now 2) 2 resources (now 2) 0 culture (now 0) 1 science (now 1) #
74,Grey,7,8,2020-04-09 10:40:47,IV,21,7472434,End turn#Grey scores: 2 food - consumption: 3 (now 5) 7 resources (now 8) 14 culture (now 130) 7 science (now 15) #
75,Purple,8,8,2020-04-09 10:04:58,IV,20,7472434,End turn#Purple scores: 1 food - consumption: 6 (now 4) 8 resources (now 8) 16 culture (now 169) 7 science (now 7) #
76,Orange,7,7,2020-04-09 09:40:59,IV,20,7472434,End turn#Orange scores: 1 food - consumption: 3 (now 7) 7 resources (now 7) 23 culture (now 200) 11 science (now 13) #
77,Grey,7,8,2020-04-08 22:32:10,IV,20,7472434,End turn#Grey scores: 2 food - consumption: 3 (now 6) 7 resources (now 8) 16 culture (now 116) 9 science (now 17) #
78,Orange,7,9,2020-04-08 20:56:38,III,19,7472434,End turn#Orange scores: 2 food - consumption: 3 (now 6) 7 resources (now 9) NO MILITARY CARDS LEFT. DISCARD PILE HAS BEEN RESHUFFLED. Orange draws 3 military cards 20 culture (now 149) 8 science (now 11) #
79,Grey,7,7,2020-04-08 20:36:10,III,19,7472434,End turn#Grey scores: 3 food - consumption: 2 (now 5) 7 resources (now 7) Grey draws 3 military cards 18 culture (now 124) 7 science (now 8) #
80,Purple,8,8,2020-04-08 20:14:34,III,18,7472434,End turn#Purple scores: 4 food - consumption: 3 (now 6) 8 resources (now 8) Purple draws 2 military cards 11 culture (now 124) 4 science (now 9) #
81,Orange,7,8,2020-04-08 20:07:37,III,18,7472434,End turn#Orange scores: 3 food - consumption: 2 (now 12) 7 resources (now 8) Orange draws 2 military cards 17 culture (now 101) 8 science (now 12) #
82,Grey,7,8,2020-04-08 20:02:00,III,18,7472434,End turn#Grey scores: 1 food - consumption: 2 (now 2) 7 resources (now 8) Grey draws 3 military cards 17 culture (now 106) 6 science (now 6) #
83,Purple,8,12,2020-04-08 17:52:00,III,17,7472434,End turn#Purple scores: 4 food - consumption: 3 (now 9) 8 resources (now 12) 11 culture (now 113) 4 science (now 14) #
84,Orange,7,10,2020-04-08 17:28:52,III,17,7472434,End turn#Orange scores: 3 food - consumption: 2 (now 13) 7 resources (now 10) Orange draws 3 military cards 12 culture (now 84) 8 science (now 12) #
85,Grey,7,8,2020-04-08 13:07:20,III,17,7472434,End turn#Grey scores: 1 food - consumption: 2 (now 1) 7 resources (now 8) Grey draws 3 military cards 12 culture (now 93) 4 science (now 7) #
86,Green,5,5,2020-04-08 12:38:41,III,16,7472434,End turn#Green scores: 2 food - consumption: 2 (now 6) 5 resources (now 5) Green draws 2 military cards 6 culture (now 64) 6 science (now 9) #
87,Purple,8,8,2020-04-08 12:09:14,III,16,7472434,End turn#Purple scores: 4 food - consumption: 3 (now 5) 8 resources (now 8) 10 culture (now 95) 3 science (now 10) #
88,Orange,7,9,2020-04-08 11:18:57,III,16,7472434,End turn#Orange scores: 3 food - consumption: 2 (now 10) 7 resources (now 9) Orange draws 3 military cards 11 culture (now 70) 7 science (now 10) #
89,Grey,7,11,2020-04-08 11:06:31,III,16,7472434,End turn#Grey scores: 1 food - consumption: 2 (now 4) 7 resources (now 11) Grey draws 3 military cards 13 culture (now 88) 6 science (now 12) #
90,Green,5,10,2020-04-07 22:39:37,III,15,7472434,End turn#Green scores: 2 food - consumption: 2 (now 4) 5 resources (now 10) Green draws 3 military cards 6 culture (now 58) 3 science (now 3) #
91,Purple,6,6,2020-04-07 18:33:41,III,15,7472434,End turn#Purple scores: 2 food - consumption: 3 (now 6) 6 resources (now 6) Purple draws 2 military cards 7 culture (now 85) 3 science (now 7) #
92,Orange,7,11,2020-04-07 17:50:02,III,15,7472434,End turn#Orange scores: 3 food - consumption: 2 (now 11) 7 resources (now 11) Orange draws 3 military cards 6 culture (now 52) 6 science (now 9) #
93,Grey,6,7,2020-04-07 17:16:37,III,15,7472434,End turn#Grey scores: 1 food - consumption: 2 (now 3) 6 resources (now 7) Grey draws 3 military cards 13 culture (now 66) 6 science (now 13) #
94,Green,5,5,2020-04-07 16:37:26,III,14,7472434,End turn#Green scores: 2 food - consumption: 2 (now 2) 5 resources (now 5) Green draws 2 military cards 6 culture (now 43) 3 science (now 5) Age III begins. Each player loses 2 yellow tokens #
95,Orange,7,7,2020-04-07 15:30:11,II,14,7472434,End turn#Orange scores: 4 food - consumption: 1 (now 12) 7 resources (now 7) Orange draws 3 military cards 6 culture (now 38) 6 science (now 7) #
96,Grey,6,6,2020-04-07 15:12:33,II,14,7472434,End turn#Grey scores: 1 food - consumption: 1 (now 2) 6 resources (now 6) Grey draws 3 military cards 12 culture (now 51) 6 science (now 7) #
97,Green,4,5,2020-04-07 14:59:35,II,13,7472434,End turn#Green scores: 2 food - consumption: 2 (now 3) 4 resources (now 5) Green draws 2 military cards 6 culture (now 35) 2 science (now 6) #
98,Purple,6,14,2020-04-07 14:41:00,II,13,7472434,End turn#Purple scores: 1 food - consumption: 2 (now 2) 6 resources (now 14) Purple draws 2 military cards 5 culture (now 70) 3 science (now 6) #
99,Orange,5,7,2020-04-07 14:04:45,II,13,7472434,End turn#Orange scores: 3 food - consumption: 1 (now 11) 5 resources (now 7) Orange draws 3 military cards 6 culture (now 32) 5 science (now 7) #
100,Grey,5,6,2020-04-07 13:48:47,II,13,7472434,End turn#Grey scores: 1 food - consumption: 1 (now 4) 5 resources (now 6) Grey draws 3 military cards 10 culture (now 39) 4 science (now 10) #
101,Green,4,4,2020-04-07 12:49:30,II,12,7472434,End turn#Green scores: 3 food - consumption: 1 (now 4) 4 resources (now 4) Green draws 1 military card 6 culture (now 29) 2 science (now 4) #
102,Purple,6,8,2020-04-07 12:39:54,II,12,7472434,End turn#Purple scores: 1 food - consumption: 2 (now 1) 6 resources (now 8) 5 culture (now 60) 3 science (now 7) #
103,Orange,5,6,2020-04-07 12:00:43,II,12,7472434,End turn#Orange scores: 3 food - consumption: 1 (now 11) 5 resources (now 6) Orange draws 3 military cards 4 culture (now 26) 4 science (now 14) #
104,Grey,5,5,2020-04-07 11:55:14,II,12,7472434,End turn#Grey scores: 1 food - consumption: 1 (now 3) 5 resources (now 5) Grey draws 3 military cards 5 culture (now 27) 6 science (now 6) #
105,Green,4,13,2020-04-07 11:29:33,II,11,7472434,End turn#Green scores: 3 food - consumption: 1 (now 4) 4 resources (now 13) Green draws 1 military card 2 culture (now 20) 2 science (now 2) #
106,Purple,6,12,2020-04-07 11:21:17,II,11,7472434,End turn#Purple scores: 1 food - consumption: 2 (now 3) 6 resources (now 12) Purple draws 1 military card 4 culture (now 55) 3 science (now 4) #
107,Orange,5,5,2020-04-07 10:46:19,II,11,7472434,End turn#Orange scores: 3 food - consumption: 1 (now 11) 5 resources (now 5) Orange draws 2 military cards 3 culture (now 22) 5 science (now 5) #
108,Grey,5,6,2020-04-06 23:07:09,II,11,7472434,End turn#Grey scores: 1 food - consumption: 1 (now 4) 5 resources (now 6) Grey draws 3 military cards 3 culture (now 21) 5 science (now 8) #
109,Green,4,13,2020-04-06 22:43:13,II,10,7472434,End turn#Green scores: 3 food - consumption: 1 (now 5) 4 resources (now 13) Green draws 2 military cards 2 culture (now 17) 2 science (now 6) #
110,Purple,6,9,2020-04-06 22:33:25,II,10,7472434,End turn#Purple scores: 1 food - consumption: 2 (now 2) 6 resources (now 9) Purple draws 1 military card 4 culture (now 49) 3 science (now 6) #
111,Grey,3,4,2020-04-06 22:02:38,II,10,7472434,End turn#Grey scores: 1 food - consumption: 1 (now 3) 3 resources (now 4) Grey draws 3 military cards 3 culture (now 16) 5 science (now 8) #
112,Green,4,11,2020-04-06 21:39:49,II,9,7472434,End turn#Green scores: 2 food - consumption: 1 (now 2) 4 resources (now 11) Green draws 1 military card 2 culture (now 11) 2 science (now 4) #
113,Purple,6,11,2020-04-06 21:32:48,II,9,7472434,End turn#Purple scores: 1 food - consumption: 2 (now 1) 6 resources (now 11) Purple draws 2 military cards 3 culture (now 40) 3 science (now 10) #
114,Grey,3,4,2020-04-06 21:19:46,II,9,7472434,End turn#Grey scores: 1 food - consumption: 1 (now 2) 3 resources (now 4) Grey draws 3 military cards 3 culture (now 8) 3 science (now 3) #
115,Green,4,5,2020-04-06 20:16:16,II,8,7472434,End turn#Green scores: 2 food - consumption: 1 (now 3) 4 resources (now 5) Green draws 1 military card 2 culture (now 9) 2 science (now 5) #
116,Purple,7,7,2020-04-06 18:22:56,II,8,7472434,End turn#Purple scores: 0 food - consumption: 2 (now 0) 7 resources (now 7) NO MILITARY CARDS LEFT. DISCARD PILE HAS BEEN RESHUFFLED. Purple draws 2 military cards 5 culture (now 31) 3 science (now 7) Age II begins. Each player loses 2 yellow tokens Aristotle dies. Hammurabi dies. Homer dies. Julius Caesar dies. #
117,Orange,3,3,2020-04-06 18:17:57,I,8,7472434,End turn#Orange scores: 3 food - consumption: 1 (now 7) 3 resources (now 3) Orange draws 1 military card 2 culture (now 10) 4 science (now 8) #
118,Grey,3,6,2020-04-06 18:16:03,I,8,7472434,End turn#Grey scores: 1 food - consumption: 1 (now 2) 3 resources (now 6) Grey draws 2 military cards 1 culture (now 4) 3 science (now 4) #
119,Green,4,5,2020-04-06 18:07:56,I,7,7472434,End turn#Green scores: 1 food - consumption: 1 (now 2) 4 resources (now 5) Green draws 3 military cards 2 culture (now 6) 2 science (now 3) #
120,Purple,6,6,2020-04-06 17:51:19,I,7,7472434,End turn#Purple scores: 1 food - consumption: 1 (now 1) 6 resources (now 6) Purple draws 2 military cards 4 culture (now 26) 3 science (now 4) #
121,Orange,3,3,2020-04-06 17:46:20,I,7,7472434,End turn#Orange scores: 3 food - consumption: 1 (now 3) 3 resources (now 3) Orange draws 2 military cards 2 culture (now 11) 4 science (now 8) #
122,Grey,3,3,2020-04-06 17:31:07,I,7,7472434,End turn#Grey scores: 1 food - consumption: 1 (now 1) 3 resources (now 3) Grey draws 1 military card 1 culture (now 3) 3 science (now 4) #
123,Green,4,4,2020-04-06 17:24:19,I,6,7472434,End turn#Green scores: 1 food - consumption: 1 (now 1) 4 resources (now 4) Green draws 2 military cards 1 culture (now 4) 2 science (now 2) #
124,Purple,5,6,2020-04-06 16:49:20,I,6,7472434,End turn#Purple scores: 1 food - consumption: 1 (now 1) 5 resources (now 6) Purple draws 1 military card 4 culture (now 17) 2 science (now 5) #
125,Orange,3,3,2020-04-06 14:51:32,I,6,7472434,End turn#Orange scores: 2 food - consumption: 1 (now 3) 3 resources (now 3) Orange draws 2 military cards 2 culture (now 8) 3 science (now 7) #
126,Grey,3,3,2020-04-06 14:21:04,I,6,7472434,End turn#Grey scores: 1 food - consumption: 1 (now 2) 3 resources (now 3) 1 culture (now 2) 2 science (now 3) #
127,Green,2,2,2020-04-06 14:11:12,I,5,7472434,End turn#Green scores: 1 food - consumption: 1 (now 2) 2 resources (now 2) Green draws 1 military card 1 culture (now 2) 2 science (now 3) #
128,Purple,4,5,2020-04-06 13:05:37,I,5,7472434,End turn#Purple scores: 1 food - consumption: 1 (now 1) 4 resources (now 5) Purple draws 2 military cards 4 culture (now 12) 2 science (now 6) #
129,Orange,3,4,2020-04-06 12:38:39,I,5,7472434,End turn#Orange scores: 2 food - consumption: 1 (now 4) 3 resources (now 4) Orange draws 1 military card 2 culture (now 5) 1 science (now 3) #
130,Grey,2,2,2020-04-06 12:35:09,I,5,7472434,End turn#Grey scores: 1 food - consumption: 1 (now 1) 2 resources (now 2) 1 culture (now 1) 2 science (now 5) #
131,Green,2,3,2020-04-06 12:29:30,I,4,7472434,End turn#Green scores: 1 food - consumption: 1 (now 1) 2 resources (now 3) Green draws 3 military cards 0 culture (now 1) 2 science (now 4) #
132,Purple,3,3,2020-04-05 22:37:28,I,4,7472434,End turn#Purple scores: 1 food - consumption: 1 (now 3) 3 resources (now 3) 3 culture (now 7) 1 science (now 4) #
133,Orange,3,3,2020-04-05 22:06:05,I,4,7472434,End turn#Orange scores: 1 food - consumption: 1 (now 2) 3 resources (now 3) Orange draws 2 military cards 1 culture (now 2) 1 science (now 3) #
134,Grey,2,2,2020-04-05 21:47:11,I,4,7472434,End turn#Grey scores: 2 food - consumption: 0 (now 4) 2 resources (now 2) Grey draws 1 military card 0 culture (now 0) 1 science (now 3) #
135,Purple,3,3,2020-04-05 17:53:41,I,3,7472434,End turn#Purple scores: 1 food - consumption: 1 (now 2) 3 resources (now 3) Purple draws 1 military card 3 culture (now 4) 1 science (now 3) #
136,Orange,3,4,2020-04-05 17:27:06,I,3,7472434,End turn#Orange scores: 1 food - consumption: 1 (now 1) 3 resources (now 4) Orange draws 2 military cards 0 culture (now 1) 1 science (now 4) #
