,player,card,time,age,round,game_id,text
18,Orange,Albert Einstein,2020-03-28 18:40:55,III,19,7472433,Orange takes Albert Einstein in hand#1 civil action used#
19,Grey,Hollywood,2020-03-28 18:38:21,III,18,7472433,Grey takes Hollywood in hand#3 civil actions used#
20,Grey,Mineral Deposits,2020-03-28 18:37:44,III,18,7472433,Grey takes Mineral Deposits in hand#1 civil action used#
21,Green,Engineering,2020-03-28 18:33:45,III,18,7472433,Green takes Engineering in hand#2 civil actions used#
22,Purple,Democracy,2020-03-28 18:31:34,III,18,7472433,Purple takes Democracy in hand#1 civil action used#
23,Grey,Ideal Building Site,2020-03-28 18:27:09,III,17,7472433,Grey takes Ideal Building Site in hand#2 civil actions used#
24,Grey,Oil,2020-03-28 18:26:12,III,17,7472433,Grey takes Oil in hand#3 civil actions used#
25,Green,Mahatma Gandhi,2020-03-28 18:25:06,III,17,7472433,Green takes Mahatma Gandhi in hand#3 civil actions used#
26,Orange,Movies,2020-03-28 18:19:21,III,17,7472433,Orange takes Movies in hand#3 civil actions used#
27,Grey,Engineering Genius,2020-03-28 18:11:52,III,16,7472433,Grey takes Engineering Genius in hand#2 civil actions used#
28,Grey,Mineral Deposits,2020-03-28 18:11:45,III,16,7472433,Grey takes Mineral Deposits in hand#1 civil action used#
29,Grey,Ideal Building Site,2020-03-28 18:11:31,III,16,7472433,Grey takes Ideal Building Site in hand#3 civil actions used#
30,Purple,Work of Art,2020-03-28 18:05:45,III,16,7472433,Purple takes Work of Art in hand#2 civil actions used#
31,Purple,Fundamentalism,2020-03-28 18:04:10,III,16,7472433,Purple takes Fundamentalism in hand#3 civil actions used#
32,Orange,Efficient Upgrade,2020-03-28 16:59:50,III,16,7472433,Orange takes Efficient Upgrade in hand#2 civil actions used#
33,Grey,Strategy,2020-03-28 16:53:53,III,15,7472433,Grey takes Strategy in hand#1 civil action used#
34,Grey,Navigation,2020-03-28 16:53:06,III,15,7472433,Grey takes Navigation in hand#1 civil action used#
35,Grey,Sid Meier,2020-03-28 16:51:29,III,15,7472433,Grey takes Sid Meier in hand#2 civil actions used#
36,Green,Cavalrymen,2020-03-28 16:49:28,III,15,7472433,Green takes Cavalrymen in hand#1 civil action used#
37,Green,Revolutionary Idea,2020-03-28 16:47:26,III,15,7472433,Green takes Revolutionary Idea in hand#1 civil action used#
38,Purple,Efficient Upgrade,2020-03-28 16:39:36,III,15,7472433,Purple takes Efficient Upgrade in hand#1 civil action used#
39,Purple,Wave of Nationalism,2020-03-28 16:39:23,III,15,7472433,Purple takes Wave of Nationalism in hand#2 civil actions used#
40,Orange,Opera,2020-03-28 16:36:55,III,15,7472433,Orange takes Opera in hand#2 civil actions used#
41,Orange,Efficient Upgrade,2020-03-28 16:36:22,III,15,7472433,Orange takes Efficient Upgrade in hand#1 civil action used#
42,Grey,Strategy,2020-03-28 16:31:33,III,14,7472433,Grey takes Strategy in hand#1 civil action used#
43,Grey,Transcontinental Railroad,2020-03-28 16:30:02,III,14,7472433,Grey takes Transcontinental Railroad in hand#3 civil actions used#
44,Purple,Journalism,2020-03-28 16:24:42,II,14,7472433,Purple takes Journalism in hand#1 civil action used#
45,Orange,Justice System,2020-03-28 16:23:16,II,14,7472433,Orange takes Justice System in hand#1 civil action used#
46,Orange,Constitutional Monarchy,2020-03-28 16:21:30,II,14,7472433,Orange takes Constitutional Monarchy in hand#1 civil action used#
47,Grey,Breakthrough,2020-03-28 16:14:02,II,13,7472433,Grey takes Breakthrough in hand#1 civil action used#
48,Grey,Architecture,2020-03-28 16:13:56,II,13,7472433,Grey takes Architecture in hand#3 civil actions used#
49,Grey,Mineral Deposits,2020-03-28 16:12:55,II,13,7472433,Grey takes Mineral Deposits in hand#3 civil actions used#
50,Grey,Breakthrough,2020-03-28 16:12:17,II,13,7472433,Grey takes Breakthrough in hand#1 civil action used#
51,Grey,Ideal Building Site,2020-03-28 16:12:03,II,13,7472433,Grey takes Ideal Building Site in hand#1 civil action used#
52,Purple,Organized religion,2020-03-28 16:03:12,II,13,7472433,Purple takes Organized religion in hand#3 civil actions used#
53,Orange,Johannes Sebastian Bach,2020-03-28 16:01:35,II,13,7472433,Orange takes Johannes Sebastian Bach in hand#3 civil actions used#
54,Grey,Efficient Upgrade,2020-03-28 15:51:49,II,12,7472433,Grey takes Efficient Upgrade in hand#2 civil actions used#
55,Grey,Engineering Genius,2020-03-28 15:51:39,II,12,7472433,Grey takes Engineering Genius in hand#1 civil action used#
56,Grey,Justice System,2020-03-28 15:51:25,II,12,7472433,Grey takes Justice System in hand#1 civil action used#
57,Grey,Republic,2020-03-28 15:50:36,II,12,7472433,Grey takes Republic in hand#1 civil action used#
58,Green,Organized religion,2020-03-28 15:47:52,II,12,7472433,Green takes Organized religion in hand#1 civil action used#
59,Green,Journalism,2020-03-28 15:45:54,II,12,7472433,Green takes Journalism in hand#1 civil action used#
60,Purple,Architecture,2020-03-28 15:42:00,II,12,7472433,Purple takes Architecture in hand#1 civil action used#
61,Orange,Riflemen,2020-03-28 15:38:25,II,12,7472433,Orange takes Riflemen in hand#1 civil action used#
62,Grey,Opera,2020-03-28 15:32:02,II,11,7472433,Grey takes Opera in hand#1 civil action used#
63,Green,Frugality,2020-03-28 15:29:17,II,11,7472433,Green takes Frugality in hand#2 civil actions used#
64,Green,Coal,2020-03-28 15:28:59,II,11,7472433,Green takes Coal in hand#1 civil action used#
65,Purple,Work of Art,2020-03-28 15:24:26,II,11,7472433,Purple takes Work of Art in hand#1 civil action used#
66,Orange,Cavalrymen,2020-03-28 15:20:41,II,11,7472433,Orange takes Cavalrymen in hand#2 civil actions used#
67,Grey,Isaac Newton,2020-03-28 15:18:04,II,10,7472433,Grey takes Isaac Newton in hand#1 civil action used#
68,Grey,Scientific Method,2020-03-28 15:17:48,II,10,7472433,Grey takes Scientific Method in hand#1 civil action used#
69,Green,Eiffel Tower,2020-03-28 15:13:19,II,10,7472433,Green takes Eiffel Tower in hand#2 civil actions used#
70,Green,Eiffel Tower,2020-03-28 15:13:00,II,10,7472433,Green takes Eiffel Tower in hand#2 civil actions used#
71,Purple,Printing Press,2020-03-28 15:10:52,II,10,7472433,Purple takes Printing Press in hand#1 civil action used#
72,Purple,Rich Land,2020-03-28 15:10:47,II,10,7472433,Purple takes Rich Land in hand#1 civil action used#
73,Purple,Maximillien Robespierre,2020-03-28 15:10:33,II,10,7472433,Purple takes Maximillien Robespierre in hand#1 civil action used#
74,Purple,Rich Land,2020-03-28 15:09:48,II,10,7472433,Purple takes Rich Land in hand#1 civil action used#
75,Orange,Coal,2020-03-28 15:07:41,II,10,7472433,Orange takes Coal in hand#3 civil actions used#
76,Grey,Efficient Upgrade,2020-03-28 15:03:39,II,9,7472433,Grey takes Efficient Upgrade in hand#1 civil action used#
77,Green,Engineering Genius,2020-03-28 15:00:37,II,9,7472433,Green takes Engineering Genius in hand#1 civil action used#
78,Purple,St. Peter's Basilica,2020-03-28 14:57:26,II,9,7472433,Purple takes St. Peter's Basilica in hand#1 civil action used#
79,Orange,Frederick Barbarossa,2020-03-28 14:54:55,II,9,7472433,Orange takes Frederick Barbarossa in hand#1 civil action used#
80,Grey,Christopher Columbus,2020-03-28 14:52:13,II,8,7472433,Grey takes Christopher Columbus in hand#1 civil action used#
81,Green,Irrigation,2020-03-28 14:49:30,I,8,7472433,Green takes Irrigation in hand#2 civil actions used#
82,Green,Monarchy,2020-03-28 14:49:23,I,8,7472433,Green takes Monarchy in hand#1 civil action used#
83,Purple,Monarchy,2020-03-28 14:43:45,I,8,7472433,Purple takes Monarchy in hand#1 civil action used Aristotle gives 1 science point #
84,Purple,Warfare,2020-03-28 14:43:35,I,8,7472433,Purple takes Warfare in hand#1 civil action used Aristotle gives 1 science point #
85,Orange,Work of Art,2020-03-28 14:39:51,I,8,7472433,Orange takes Work of Art in hand#1 civil action used#
86,Grey,Ideal Building Site,2020-03-28 14:37:02,I,7,7472433,Grey takes Ideal Building Site in hand#2 civil actions used#
87,Green,Iron,2020-03-28 14:33:57,I,7,7472433,Green takes Iron in hand#2 civil actions used#
88,Purple,Knights,2020-03-28 14:23:33,I,7,7472433,Purple takes Knights in hand#1 civil action used Aristotle gives 1 science point #
89,Orange,Masonry,2020-03-28 14:21:09,I,7,7472433,Orange takes Masonry in hand#1 civil action used#
90,Grey,Swordsmen,2020-03-28 14:19:01,I,6,7472433,Grey takes Swordsmen in hand#1 civil action used#
91,Grey,Warfare,2020-03-28 14:18:44,I,6,7472433,Grey takes Warfare in hand#1 civil action used#
92,Green,Michelangelo,2020-03-28 14:09:45,I,6,7472433,Green takes Michelangelo in hand#1 civil action used#
93,Purple,Iron,2020-03-28 14:02:06,I,6,7472433,Purple takes Iron in hand#2 civil actions used Aristotle gives 1 science point #
94,Orange,Theocracy,2020-03-28 14:00:04,I,6,7472433,Orange takes Theocracy in hand#1 civil action used#
95,Grey,Bountiful Harvest,2020-03-28 13:57:03,I,5,7472433,Grey takes Bountiful Harvest in hand#1 civil action used#
96,Grey,Breakthrough,2020-03-28 13:56:25,I,5,7472433,Grey takes Breakthrough in hand#1 civil action used#
97,Grey,Mineral Deposits,2020-03-28 13:56:23,I,5,7472433,Grey takes Mineral Deposits in hand#1 civil action used#
98,Grey,Alchemy,2020-03-28 13:56:18,I,5,7472433,Grey takes Alchemy in hand#1 civil action used#
99,Green,Drama,2020-03-28 13:50:10,I,5,7472433,Green takes Drama in hand#1 civil action used#
100,Green,Rich Land,2020-03-28 13:50:04,I,5,7472433,Green takes Rich Land in hand#1 civil action used#
101,Purple,Irrigation,2020-03-28 13:40:19,I,5,7472433,Purple takes Irrigation in hand#3 civil actions used Aristotle gives 1 science point #
102,Orange,Great Wall,2020-03-28 13:38:33,I,5,7472433,Orange takes Great Wall in hand#2 civil actions used#
103,Orange,Drama,2020-03-28 13:37:10,I,5,7472433,Orange takes Drama in hand#1 civil action used#
104,Grey,Irrigation,2020-03-28 13:33:23,I,4,7472433,Grey takes Irrigation in hand#3 civil actions used#
105,Grey,Code of Laws,2020-03-28 13:32:21,I,4,7472433,Grey takes Code of Laws in hand#2 civil actions used#
106,Green,Mineral Deposits,2020-03-28 13:28:27,I,4,7472433,Green takes Mineral Deposits in hand#1 civil action used#
107,Green,Swordsmen,2020-03-28 13:27:41,I,4,7472433,Green takes Swordsmen in hand#1 civil action used#
108,Purple,Efficient Upgrade,2020-03-28 13:22:58,I,4,7472433,Purple takes Efficient Upgrade in hand#2 civil actions used#
109,Grey,Theology,2020-03-28 13:17:00,I,3,7472433,Grey takes Theology in hand#2 civil actions used#
110,Green,Patriotism,2020-03-28 13:10:47,I,3,7472433,Green takes Patriotism in hand#1 civil action used#
111,Purple,Bread & Circuses,2020-03-28 13:07:19,I,3,7472433,Purple takes Bread & Circuses in hand#3 civil actions used Aristotle gives 1 science point #
112,Orange,Engineering Genius,2020-03-28 13:01:22,I,3,7472433,Orange takes Engineering Genius in hand#1 civil action used#
113,Orange,Engineering Genius,2020-03-28 12:59:10,I,3,7472433,Orange takes Engineering Genius in hand#1 civil action used#
114,Grey,Hanging Gardens,2020-03-28 12:54:09,I,2,7472433,Grey takes Hanging Gardens in hand#1 civil action used#
115,Grey,Hammurabi,2020-03-28 12:53:12,I,2,7472433,Grey takes Hammurabi in hand#1 civil action used#
116,Green,Pyramids,2020-03-28 12:49:59,I,2,7472433,Green takes Pyramids in hand#1 civil action used#
117,Purple,Frugality,2020-03-28 12:47:12,I,2,7472433,Purple takes Frugality in hand#1 civil action used#
118,Orange,Homer,2020-03-28 12:44:29,I,2,7472433,Orange takes Homer in hand#2 civil actions used#
119,Grey,Rich Land,2020-03-28 12:41:10,A,1,7472433,Grey takes Rich Land in hand#2 civil actions used#
120,Grey,Ideal Building Site,2020-03-28 12:40:51,A,1,7472433,Grey takes Ideal Building Site in hand#1 civil action used#
121,Green,Work of Art,2020-03-28 12:40:35,A,1,7472433,Green takes Work of Art in hand#2 civil actions used#
122,Green,Alexander the Great,2020-03-28 12:40:30,A,1,7472433,Green takes Alexander the Great in hand#1 civil action used#
123,Purple,Aristotle,2020-03-28 12:39:22,A,1,7472433,Purple takes Aristotle in hand#1 civil action used#
124,Purple,Rich Land,2020-03-28 12:39:16,A,1,7472433,Purple takes Rich Land in hand#1 civil action used#
125,Purple,Rich Land,2020-03-28 12:38:12,A,1,7472433,Purple takes Rich Land in hand#1 civil action used#
126,Purple,Rich Land,2020-03-28 12:37:54,A,1,7472433,Purple takes Rich Land in hand#1 civil action used#
127,Orange,Library of Alexandria,2020-03-28 12:35:59,A,1,7472433,Orange takes Library of Alexandria in hand#1 civil action used#
128,Green,Oil,2020-03-28 19:21:33,IV,22,7472433,Green takes Oil in hand#1 civil action used#
129,Purple,Revolutionary Idea,2020-03-28 19:19:39,IV,22,7472433,Purple takes Revolutionary Idea in hand#1 civil action used#
130,Purple,Fast Food Chains,2020-03-28 19:19:00,IV,22,7472433,Purple takes Fast Food Chains in hand#2 civil actions used#
131,Orange,Tanks,2020-03-28 19:16:31,IV,22,7472433,Orange takes Tanks in hand#1 civil action used#
132,Orange,Fast Food Chains,2020-03-28 19:15:12,IV,22,7472433,Orange takes Fast Food Chains in hand#4 civil actions used#
133,Grey,Engineering,2020-03-28 19:14:03,IV,21,7472433,Grey takes Engineering in hand#1 civil action used#
134,Grey,Mechanized Agriculture,2020-03-28 19:12:41,IV,21,7472433,Grey takes Mechanized Agriculture in hand#2 civil actions used#
135,Green,Computers,2020-03-28 19:12:14,IV,21,7472433,Green takes Computers in hand#1 civil action used#
136,Green,Multimedia,2020-03-28 19:12:07,IV,21,7472433,Green takes Multimedia in hand#3 civil actions used#
137,Green,Fast Food Chains,2020-03-28 19:10:24,IV,21,7472433,Green takes Fast Food Chains in hand#5 civil actions used#
138,Orange,Efficient Upgrade,2020-03-28 19:03:07,III,21,7472433,Orange takes Efficient Upgrade in hand#1 civil action used#
139,Grey,First Space Flight,2020-03-28 19:01:54,III,20,7472433,Grey takes First Space Flight in hand#6 civil actions used#
140,Grey,Bountiful Harvest,2020-03-28 19:01:36,III,20,7472433,Grey takes Bountiful Harvest in hand#1 civil action used#
141,Green,Military Build-Up,2020-03-28 19:00:50,III,20,7472433,Green takes Military Build-Up in hand#1 civil action used#
142,Purple,Movies,2020-03-28 18:56:10,III,20,7472433,Purple takes Movies in hand#3 civil actions used#
143,Grey,Computers,2020-03-28 18:48:50,III,19,7472433,Grey takes Computers in hand#2 civil actions used#
144,Green,Democracy,2020-03-28 18:46:45,III,19,7472433,Green takes Democracy in hand#2 civil actions used#
145,Purple,Endowment for the Arts,2020-03-28 18:43:03,III,19,7472433,Purple takes Endowment for the Arts in hand#3 civil actions used#
146,Orange,Albert Einstein,2020-03-28 18:40:55,III,19,7472433,Orange takes Albert Einstein in hand#1 civil action used#
147,Grey,Hollywood,2020-03-28 18:38:21,III,18,7472433,Grey takes Hollywood in hand#3 civil actions used#
148,Grey,Mineral Deposits,2020-03-28 18:37:44,III,18,7472433,Grey takes Mineral Deposits in hand#1 civil action used#
149,Green,Engineering,2020-03-28 18:33:45,III,18,7472433,Green takes Engineering in hand#2 civil actions used#
150,Purple,Democracy,2020-03-28 18:31:34,III,18,7472433,Purple takes Democracy in hand#1 civil action used#
151,Grey,Ideal Building Site,2020-03-28 18:27:09,III,17,7472433,Grey takes Ideal Building Site in hand#2 civil actions used#
152,Grey,Oil,2020-03-28 18:26:12,III,17,7472433,Grey takes Oil in hand#3 civil actions used#
153,Green,Mahatma Gandhi,2020-03-28 18:25:06,III,17,7472433,Green takes Mahatma Gandhi in hand#3 civil actions used#
154,Orange,Movies,2020-03-28 18:19:21,III,17,7472433,Orange takes Movies in hand#3 civil actions used#
155,Grey,Engineering Genius,2020-03-28 18:11:52,III,16,7472433,Grey takes Engineering Genius in hand#2 civil actions used#
156,Grey,Mineral Deposits,2020-03-28 18:11:45,III,16,7472433,Grey takes Mineral Deposits in hand#1 civil action used#
157,Grey,Ideal Building Site,2020-03-28 18:11:31,III,16,7472433,Grey takes Ideal Building Site in hand#3 civil actions used#
158,Purple,Work of Art,2020-03-28 18:05:45,III,16,7472433,Purple takes Work of Art in hand#2 civil actions used#
159,Purple,Fundamentalism,2020-03-28 18:04:10,III,16,7472433,Purple takes Fundamentalism in hand#3 civil actions used#
160,Orange,Efficient Upgrade,2020-03-28 16:59:50,III,16,7472433,Orange takes Efficient Upgrade in hand#2 civil actions used#
161,Grey,Strategy,2020-03-28 16:53:53,III,15,7472433,Grey takes Strategy in hand#1 civil action used#
162,Grey,Navigation,2020-03-28 16:53:06,III,15,7472433,Grey takes Navigation in hand#1 civil action used#
163,Grey,Sid Meier,2020-03-28 16:51:29,III,15,7472433,Grey takes Sid Meier in hand#2 civil actions used#
164,Green,Cavalrymen,2020-03-28 16:49:28,III,15,7472433,Green takes Cavalrymen in hand#1 civil action used#
165,Green,Revolutionary Idea,2020-03-28 16:47:26,III,15,7472433,Green takes Revolutionary Idea in hand#1 civil action used#
166,Purple,Efficient Upgrade,2020-03-28 16:39:36,III,15,7472433,Purple takes Efficient Upgrade in hand#1 civil action used#
167,Purple,Wave of Nationalism,2020-03-28 16:39:23,III,15,7472433,Purple takes Wave of Nationalism in hand#2 civil actions used#
168,Orange,Opera,2020-03-28 16:36:55,III,15,7472433,Orange takes Opera in hand#2 civil actions used#
169,Orange,Efficient Upgrade,2020-03-28 16:36:22,III,15,7472433,Orange takes Efficient Upgrade in hand#1 civil action used#
170,Grey,Strategy,2020-03-28 16:31:33,III,14,7472433,Grey takes Strategy in hand#1 civil action used#
171,Grey,Transcontinental Railroad,2020-03-28 16:30:02,III,14,7472433,Grey takes Transcontinental Railroad in hand#3 civil actions used#
172,Purple,Journalism,2020-03-28 16:24:42,II,14,7472433,Purple takes Journalism in hand#1 civil action used#
173,Orange,Justice System,2020-03-28 16:23:16,II,14,7472433,Orange takes Justice System in hand#1 civil action used#
174,Orange,Constitutional Monarchy,2020-03-28 16:21:30,II,14,7472433,Orange takes Constitutional Monarchy in hand#1 civil action used#
175,Grey,Breakthrough,2020-03-28 16:14:02,II,13,7472433,Grey takes Breakthrough in hand#1 civil action used#
176,Grey,Architecture,2020-03-28 16:13:56,II,13,7472433,Grey takes Architecture in hand#3 civil actions used#
177,Grey,Mineral Deposits,2020-03-28 16:12:55,II,13,7472433,Grey takes Mineral Deposits in hand#3 civil actions used#
178,Grey,Breakthrough,2020-03-28 16:12:17,II,13,7472433,Grey takes Breakthrough in hand#1 civil action used#
179,Grey,Ideal Building Site,2020-03-28 16:12:03,II,13,7472433,Grey takes Ideal Building Site in hand#1 civil action used#
180,Purple,Organized religion,2020-03-28 16:03:12,II,13,7472433,Purple takes Organized religion in hand#3 civil actions used#
181,Orange,Johannes Sebastian Bach,2020-03-28 16:01:35,II,13,7472433,Orange takes Johannes Sebastian Bach in hand#3 civil actions used#
182,Grey,Efficient Upgrade,2020-03-28 15:51:49,II,12,7472433,Grey takes Efficient Upgrade in hand#2 civil actions used#
183,Grey,Engineering Genius,2020-03-28 15:51:39,II,12,7472433,Grey takes Engineering Genius in hand#1 civil action used#
184,Grey,Justice System,2020-03-28 15:51:25,II,12,7472433,Grey takes Justice System in hand#1 civil action used#
185,Grey,Republic,2020-03-28 15:50:36,II,12,7472433,Grey takes Republic in hand#1 civil action used#
186,Green,Organized religion,2020-03-28 15:47:52,II,12,7472433,Green takes Organized religion in hand#1 civil action used#
187,Green,Journalism,2020-03-28 15:45:54,II,12,7472433,Green takes Journalism in hand#1 civil action used#
188,Purple,Architecture,2020-03-28 15:42:00,II,12,7472433,Purple takes Architecture in hand#1 civil action used#
189,Orange,Riflemen,2020-03-28 15:38:25,II,12,7472433,Orange takes Riflemen in hand#1 civil action used#
190,Grey,Opera,2020-03-28 15:32:02,II,11,7472433,Grey takes Opera in hand#1 civil action used#
191,Green,Frugality,2020-03-28 15:29:17,II,11,7472433,Green takes Frugality in hand#2 civil actions used#
192,Green,Coal,2020-03-28 15:28:59,II,11,7472433,Green takes Coal in hand#1 civil action used#
193,Purple,Work of Art,2020-03-28 15:24:26,II,11,7472433,Purple takes Work of Art in hand#1 civil action used#
194,Orange,Cavalrymen,2020-03-28 15:20:41,II,11,7472433,Orange takes Cavalrymen in hand#2 civil actions used#
195,Grey,Isaac Newton,2020-03-28 15:18:04,II,10,7472433,Grey takes Isaac Newton in hand#1 civil action used#
196,Grey,Scientific Method,2020-03-28 15:17:48,II,10,7472433,Grey takes Scientific Method in hand#1 civil action used#
197,Green,Eiffel Tower,2020-03-28 15:13:19,II,10,7472433,Green takes Eiffel Tower in hand#2 civil actions used#
198,Green,Eiffel Tower,2020-03-28 15:13:00,II,10,7472433,Green takes Eiffel Tower in hand#2 civil actions used#
199,Purple,Printing Press,2020-03-28 15:10:52,II,10,7472433,Purple takes Printing Press in hand#1 civil action used#
200,Purple,Rich Land,2020-03-28 15:10:47,II,10,7472433,Purple takes Rich Land in hand#1 civil action used#
201,Purple,Maximillien Robespierre,2020-03-28 15:10:33,II,10,7472433,Purple takes Maximillien Robespierre in hand#1 civil action used#
202,Purple,Rich Land,2020-03-28 15:09:48,II,10,7472433,Purple takes Rich Land in hand#1 civil action used#
203,Orange,Coal,2020-03-28 15:07:41,II,10,7472433,Orange takes Coal in hand#3 civil actions used#
204,Grey,Efficient Upgrade,2020-03-28 15:03:39,II,9,7472433,Grey takes Efficient Upgrade in hand#1 civil action used#
205,Green,Engineering Genius,2020-03-28 15:00:37,II,9,7472433,Green takes Engineering Genius in hand#1 civil action used#
206,Purple,St. Peter's Basilica,2020-03-28 14:57:26,II,9,7472433,Purple takes St. Peter's Basilica in hand#1 civil action used#
207,Orange,Frederick Barbarossa,2020-03-28 14:54:55,II,9,7472433,Orange takes Frederick Barbarossa in hand#1 civil action used#
208,Grey,Christopher Columbus,2020-03-28 14:52:13,II,8,7472433,Grey takes Christopher Columbus in hand#1 civil action used#
209,Green,Irrigation,2020-03-28 14:49:30,I,8,7472433,Green takes Irrigation in hand#2 civil actions used#
210,Green,Monarchy,2020-03-28 14:49:23,I,8,7472433,Green takes Monarchy in hand#1 civil action used#
211,Purple,Monarchy,2020-03-28 14:43:45,I,8,7472433,Purple takes Monarchy in hand#1 civil action used Aristotle gives 1 science point #
212,Purple,Warfare,2020-03-28 14:43:35,I,8,7472433,Purple takes Warfare in hand#1 civil action used Aristotle gives 1 science point #
213,Orange,Work of Art,2020-03-28 14:39:51,I,8,7472433,Orange takes Work of Art in hand#1 civil action used#
214,Grey,Ideal Building Site,2020-03-28 14:37:02,I,7,7472433,Grey takes Ideal Building Site in hand#2 civil actions used#
215,Green,Iron,2020-03-28 14:33:57,I,7,7472433,Green takes Iron in hand#2 civil actions used#
216,Purple,Knights,2020-03-28 14:23:33,I,7,7472433,Purple takes Knights in hand#1 civil action used Aristotle gives 1 science point #
217,Orange,Masonry,2020-03-28 14:21:09,I,7,7472433,Orange takes Masonry in hand#1 civil action used#
218,Grey,Swordsmen,2020-03-28 14:19:01,I,6,7472433,Grey takes Swordsmen in hand#1 civil action used#
219,Grey,Warfare,2020-03-28 14:18:44,I,6,7472433,Grey takes Warfare in hand#1 civil action used#
220,Green,Michelangelo,2020-03-28 14:09:45,I,6,7472433,Green takes Michelangelo in hand#1 civil action used#
221,Purple,Iron,2020-03-28 14:02:06,I,6,7472433,Purple takes Iron in hand#2 civil actions used Aristotle gives 1 science point #
222,Orange,Theocracy,2020-03-28 14:00:04,I,6,7472433,Orange takes Theocracy in hand#1 civil action used#
223,Grey,Bountiful Harvest,2020-03-28 13:57:03,I,5,7472433,Grey takes Bountiful Harvest in hand#1 civil action used#
224,Grey,Breakthrough,2020-03-28 13:56:25,I,5,7472433,Grey takes Breakthrough in hand#1 civil action used#
225,Grey,Mineral Deposits,2020-03-28 13:56:23,I,5,7472433,Grey takes Mineral Deposits in hand#1 civil action used#
226,Grey,Alchemy,2020-03-28 13:56:18,I,5,7472433,Grey takes Alchemy in hand#1 civil action used#
227,Green,Drama,2020-03-28 13:50:10,I,5,7472433,Green takes Drama in hand#1 civil action used#
228,Green,Rich Land,2020-03-28 13:50:04,I,5,7472433,Green takes Rich Land in hand#1 civil action used#
229,Purple,Irrigation,2020-03-28 13:40:19,I,5,7472433,Purple takes Irrigation in hand#3 civil actions used Aristotle gives 1 science point #
230,Orange,Great Wall,2020-03-28 13:38:33,I,5,7472433,Orange takes Great Wall in hand#2 civil actions used#
231,Orange,Drama,2020-03-28 13:37:10,I,5,7472433,Orange takes Drama in hand#1 civil action used#
232,Grey,Irrigation,2020-03-28 13:33:23,I,4,7472433,Grey takes Irrigation in hand#3 civil actions used#
233,Grey,Code of Laws,2020-03-28 13:32:21,I,4,7472433,Grey takes Code of Laws in hand#2 civil actions used#
234,Green,Mineral Deposits,2020-03-28 13:28:27,I,4,7472433,Green takes Mineral Deposits in hand#1 civil action used#
235,Green,Swordsmen,2020-03-28 13:27:41,I,4,7472433,Green takes Swordsmen in hand#1 civil action used#
236,Purple,Efficient Upgrade,2020-03-28 13:22:58,I,4,7472433,Purple takes Efficient Upgrade in hand#2 civil actions used#
237,Grey,Theology,2020-03-28 13:17:00,I,3,7472433,Grey takes Theology in hand#2 civil actions used#
238,Green,Patriotism,2020-03-28 13:10:47,I,3,7472433,Green takes Patriotism in hand#1 civil action used#
239,Purple,Bread & Circuses,2020-03-28 13:07:19,I,3,7472433,Purple takes Bread & Circuses in hand#3 civil actions used Aristotle gives 1 science point #
240,Orange,Engineering Genius,2020-03-28 13:01:22,I,3,7472433,Orange takes Engineering Genius in hand#1 civil action used#
241,Orange,Engineering Genius,2020-03-28 12:59:10,I,3,7472433,Orange takes Engineering Genius in hand#1 civil action used#
